"id","name","full_name","address_ip","type","status","idts_core_status","idts_data_status","data","reserved","comment"
"1","HMI001","HMI001","192.168.249.50",NULL,NULL,NULL,NULL,NULL,NULL,"HMI001"
"2","HMI002","HMI002","192.168.249.51",NULL,NULL,NULL,NULL,NULL,NULL,"HMI002"
"3","HMI003","HMI003","192.168.249.52",NULL,NULL,NULL,NULL,NULL,NULL,"HMI003"
"4","HMI004","HMI004","192.168.249.53",NULL,NULL,NULL,NULL,NULL,NULL,"HMI004"
"5","HMI005","HMI005","192.168.249.54",NULL,NULL,NULL,NULL,NULL,NULL,"HMI005"
"6","HMI006","HMI006","192.168.249.55",NULL,NULL,NULL,NULL,NULL,NULL,"HMI006"
"7","HMI007","HMI007","192.168.249.56",NULL,NULL,NULL,NULL,NULL,NULL,"HMI007"
"8","HMI008","HMI008","192.168.249.57",NULL,NULL,NULL,NULL,NULL,NULL,"HMI008"
"9","HMI009","HMI009","192.168.249.58",NULL,NULL,NULL,NULL,NULL,NULL,"HMI009"
"10","HMI010","HMI010","192.168.249.59",NULL,NULL,NULL,NULL,NULL,NULL,"HMI010"
"11","HMI011","HMI011","192.168.249.60",NULL,NULL,NULL,NULL,NULL,NULL,"HMI011"
"12","HMI012","HMI012","192.168.249.61",NULL,NULL,NULL,NULL,NULL,NULL,"HMI012"
"13","HMI013","HMI013","192.168.249.62",NULL,NULL,NULL,NULL,NULL,NULL,"HMI013"
"14","HMI014","HMI014","192.168.249.63",NULL,NULL,NULL,NULL,NULL,NULL,"HMI014"
"15","HMI015","HMI015","192.168.249.64",NULL,NULL,NULL,NULL,NULL,NULL,"HMI015"
"16","HMI016","HMI016","192.168.249.65",NULL,NULL,NULL,NULL,NULL,NULL,"HMI016"
"17","HMI017","HMI017","192.168.249.66",NULL,NULL,NULL,NULL,NULL,NULL,"HMI017"
"18","HMI018","HMI018","192.168.249.67",NULL,NULL,NULL,NULL,NULL,NULL,"HMI018"
"19","HMI019","HMI019","192.168.249.68",NULL,NULL,NULL,NULL,NULL,NULL,"HMI019"
"20","HMI020","HMI020","192.168.249.69",NULL,NULL,NULL,NULL,NULL,NULL,"HMI020"
"21","HMI021","HMI021","192.168.249.70",NULL,NULL,NULL,NULL,NULL,NULL,"HMI021"
"22","HMI022","HMI022","192.168.249.71",NULL,NULL,NULL,NULL,NULL,NULL,"HMI022"
"23","HMI023","HMI023","192.168.249.72",NULL,NULL,NULL,NULL,NULL,NULL,"HMI023"
"24","HMI024","HMI024","192.168.249.73",NULL,NULL,NULL,NULL,NULL,NULL,"HMI024"
"25","HMI025","HMI025","192.168.249.74",NULL,NULL,NULL,NULL,NULL,NULL,"HMI025"
"26","HMI026","HMI026","192.168.249.75",NULL,NULL,NULL,NULL,NULL,NULL,"HMI026"
"27","HMI027","HMI027","192.168.249.76",NULL,NULL,NULL,NULL,NULL,NULL,"HMI027"
"28","HMI028","HMI028","192.168.249.77",NULL,NULL,NULL,NULL,NULL,NULL,"HMI028"
"29","HMI029","HMI029","192.168.249.78",NULL,NULL,NULL,NULL,NULL,NULL,"HMI029"
"30","HMI030","HMI030","192.168.249.79",NULL,NULL,NULL,NULL,NULL,NULL,"HMI030"
"31","HMI031","HMI031","192.168.249.80",NULL,NULL,NULL,NULL,NULL,NULL,"HMI031"
"32","HMI032","HMI032","192.168.249.81",NULL,NULL,NULL,NULL,NULL,NULL,"HMI032"
"33","HMI033","HMI033","192.168.249.82",NULL,NULL,NULL,NULL,NULL,NULL,"HMI033"
"34","HMI034","HMI034","192.168.249.83",NULL,NULL,NULL,NULL,NULL,NULL,"HMI034"
"35","HMI035","HMI035","192.168.249.84",NULL,NULL,NULL,NULL,NULL,NULL,"HMI035"
