"id","machine_number","name","full_name","floor","type","status","hmi_config_id","comment"
"1","BS01","1+4集合機","1+4集合機","1","0","0","1","1+4集合機"
"2","CS01","61B同心絞","61B同心絞","1","0","0","2","61B同心絞"
"3","CS03","1600弓絞A","1600弓絞A","1","0","0","3","1600弓絞A"
"4","CS04","1600弓絞B","1600弓絞B","1","0","0","4","1600弓絞B"
"5","CS05","1600弓絞C","1600弓絞C","1","0","0","4","1600弓絞C"
"6","CS06","1000弓絞A","1000弓絞A","3","0","0",NULL,"1000弓絞A"
"7","CS07","1000弓絞B","1000弓絞B","3","0","0",NULL,"1000弓絞B"
"8","CS08","1000弓絞C","1000弓絞C","3","0","0",NULL,"1000弓絞C"
"9","CS09","1000弓絞D","1000弓絞D","3","0","0",NULL,"1000弓絞D"
"10","CS10","1000弓絞E","1000弓絞E","3","0","0",NULL,"1000弓絞E"
"11","CS11","800弓絞A","800弓絞A","3","0","0",NULL,"800弓絞A"
"12","CS12","800弓絞B","800弓絞B","3","0","0",NULL,"800弓絞B"
"13","CS13","800弓絞C","800弓絞C","3","0","0",NULL,"800弓絞C"
"14","DR01","單頭中伸機A","單頭中伸機A","3","0","0",NULL,"單頭中伸機A"
"15","DR02","單頭中伸機B","單頭中伸機B","3","0","0",NULL,"單頭中伸機B"
"16","DR03","多頭中伸機A","多頭中伸機A","3","0","0",NULL,"多頭中伸機A"
"17","EV11","1F電梯口1","1F電梯口1","1","0","0",NULL,"1F電梯口1"
"18","EV12","1F電梯口2","1F電梯口2","1","0","0",NULL,"1F電梯口2"
"19","EX01","Tanden A","Tanden A","1","0","0",NULL,"Tanden A"
"20","EX02","Multipurpose A","Multipurpose A","1","0","0",NULL,"Multipurpose A"
"21","EX03","CO A","CO A","1","0","0",NULL,"CO A"
"22","EX04","CO B","CO B","1","0","0",NULL,"CO B"
"23","EX05","Line A","Line A","1","0","0",NULL,"Line A"
"24","EX06","Line B","Line B","1","0","0",NULL,"Line B"
"25","EX07","Line C","Line C","1","0","0",NULL,"Line C"
"26","EX08","Line D","Line D","1","0","0",NULL,"Line D"
"27","EX10","Line E","Line E","3","0","0",NULL,"Line E"
"28","EX11","Line F","Line F","3","0","0",NULL,"Line F"
"29","EX12","Line G","Line G","3","0","0",NULL,"Line G"
"30","EX13","Line H","Line H","3","0","0",NULL,"Line H"
"31","ST01","1250單扭機","1250單扭機","1","0","0",NULL,"1250單扭機"
"32","ST02","1600單扭機","1600單扭機","1","0","0",NULL,"1600單扭機"
"33","ST03","1600雙扭機","1600雙扭機","1","0","0","33","1600雙扭機"
"34","TP01","大包機","大包機","1","0","0",NULL,"大包機"
"35","TP02","小包機2頭","小包機2頭","3","0","0",NULL,"小包機2頭"
"36","TP03","小包機2頭","小包機2頭","3","0","0",NULL,"小包機2頭"
"37","TP04","小包機3頭","小包機3頭","3","0","0",NULL,"小包機3頭"
"38","TP05","小包機3頭(舊機)","小包機3頭(舊機)","3","0","0",NULL,"小包機3頭(舊機)"
"39","TP06","小包機3頭(舊機)","小包機3頭(舊機)","3","0","0",NULL,"小包機3頭(舊機)"
